,yield2,group
421340,-0.282835024,training
520702,-1.048535537,training
3826179,0.553677075,training
431742,-0.270804206,training
294910,-1.092260378,training
1298211,1.463044924,training
86394,0.938777177,training
2668072,1.626052702,training
2448315,1.382512487,training
1399978,0.20619464,training
1301796,0.196783895,training
4066585,0.082785404,training
41660,-0.035174839,training
1306534,0.240027756,training
292703,-0.659587598,training
3855646,0.726544935,training
20934,-0.381543426,training
434148,0.18842371,training
2099196,-0.256071042,training
420213,0.300441324,training
42237,-0.283486878,training
433924,-0.484998338,training
1812547,2.429908819,training
85888,-0.904899844,training
775,-1.727469864,training
455538,0.054432924,training
96619,-0.716438119,training
13098,-0.189898377,training
3855110,0.519280706,training
2031157,0.454468707,training
41484,1.061629488,training
419528,-0.324541017,training
1672866,0.87605997,training
373045,0.577820984,training
1311265,0.431976583,training
85899,0.224332633,training
42174,0.105916725,training
294940,-1.677606204,training
2151597,-1.614591549,training
85646,0.134471724,training
222490,-0.653898116,training
1298205,0.002436499,training
669426,-1.077343682,training
367751,2.154978357,training
2487807,0.4194901,training
1437563,0.485624792,training
412956,-0.820247437,training
217562,-2.07231324,training
429101,0.380904145,training
133128,-0.376005832,training
420125,-0.886761851,training
730613,-1.132612034,training
3895,-0.313592403,training
1816173,0.901899966,training
1066175,-0.813475751,training
85685,-0.072608973,training
31089,-1.406434977,training
96413,0.853017251,training
3881,-0.282480618,training
430174,-0.411294545,training
70761,0.175949884,training
64869,1.251034186,training
369673,0.364297692,training
2484313,1.014316286,training
321840,0.640411617,training
1393230,1.189829534,training
1290408,0.024491944,training
464211,-0.601920678,training
377246,-0.561075385,training
1815932,1.247711629,training
168979,-0.979825071,training
167864,-0.597465288,training
294881,-0.67457391,training
62150,1.043269991,training
217726,-0.766459996,training
342284,0.406788441,training
1047493,0.041389517,training
1507236,0.729525743,training
1817540,1.272709911,training
321487,-0.670175478,training
421442,-2.036081554,training
43789,-0.122662494,training
4062993,1.41904162,training
2485050,1.107885801,training
675238,2.302860593,training
107131,-1.608737522,training
376804,0.514559512,training
2464631,1.545222817,training
41471,1.42230089,training
3830130,-0.039225193,training
393281,1.72990632,training
421018,-0.399795336,training
13302,-0.207637663,training
450770,-0.633937463,training
168939,-1.981338483,training
784135,-1.262489179,training
1766332,0.72479822,training
294818,-0.567828085,training
19630,0.41790793,training
358856,2.201386558,training
1541043,1.234370775,training
42066,-0.483403511,training
1651705,1.04830762,training
295191,1.650582661,training
85587,0.350412571,training
1500224,2.09762787,training
97120,-0.581630934,training
701166,-0.966269042,training
3830032,0.955959539,training
1101307,0.378379002,training
2460025,0.910127248,training
624629,-0.480587249,training
423133,-0.486491906,training
2484301,0.735879736,training
85331,-0.596522315,training
68460,-0.61321104,training
77534,-0.271449731,training
438770,0.33145185,training
1563730,0.169754108,training
2601500,1.975984336,training
3826178,0.378125855,training
3864287,0.229743654,training
77587,-0.194784117,training
220399,-2.949626331,training
377276,-0.599984102,training
1982528,0.587295017,training
86230,-0.516464529,training
96495,-0.67677629,training
87507,1.18673481,training
13954,-0.488896804,training
345434,-0.489352469,training
2448314,0.850219975,training
41709,-0.76337793,training
1360815,0.192461407,training
3827762,0.106334418,training
2485915,0.756606159,training
623960,-1.087165792,training
1838323,0.075482109,training
1642433,1.076514541,training
770285,-1.339205423,training
77205,-0.404472229,training
62633,-0.455272534,training
323172,0.399029481,training
3830201,0.513743112,training
77310,-1.15288912,training
106657,-1.096905628,training
217754,-0.909152716,training
1296766,1.903837398,training
320849,-0.605483724,training
1439621,1.907792822,training
85676,-0.078962967,training
77246,-0.601319453,training
422005,-1.265248483,training
4057141,0.654784047,training
358060,1.292917382,training
86490,-0.269576442,training
2114149,-0.392264208,training
1081265,2.122278074,training
2621166,1.088595989,training
855587,-1.200873163,training
217748,0.423875874,training
1301798,0.2998844,training
625454,-0.01922024,training
168524,0.017365852,training
423409,-1.422199716,training
326413,-0.929195642,training
897095,-1.919633865,training
673831,-0.623786263,training
143989,0.273468495,training
1635819,1.433091287,training
321614,1.646734824,training
41804,0.068761052,training
86954,0.289859773,training
1290414,0.919398762,training
1295736,-0.012062504,training
217743,-0.251653624,training
664062,0.110416416,training
471420,-0.102189218,training
342294,-0.408199821,training
292907,-0.705432547,training
427258,-0.203175945,training
168924,-2.017728385,training
342090,0.298517405,training
2166,0.409522431,training
430433,0.829569496,training
62576,-0.956484904,training
343376,-0.10725849,training
3830198,0.391124961,training
20424,-0.273025572,training
342374,-0.680067203,training
419380,-0.780471691,training
1079616,2.353274848,training
424700,0.591180825,training
3827768,0.515325282,training
1799716,0.733905188,training
3854950,0.246356435,training
92207,-0.030124553,training
1796426,0.985805588,training
419150,-0.262380734,training
86162,0.01742281,training
16122,8.86E-05,training
294705,-0.41888896,training
321397,-0.809855746,training
1066569,-0.866813855,training
89491,-0.151331408,training
423348,-0.910057717,training
96501,0.439501382,training
1058137,-1.929759751,training
665788,-0.704527546,training
42076,-0.347343246,training
168154,-1.128549022,training
460693,-0.37620835,training
2485920,0.176361248,training
295190,-0.152995851,training
108014,0.075361864,training
3830184,0.309643223,training
877657,1.871244703,training
3830206,0.552164521,training
1700001,-0.879920549,training
3868700,-0.060584484,training
416396,-0.881154641,training
3848815,0.424350525,training
3855090,0.82859488,training
427918,-0.611723801,training
421337,-1.767745575,training
62587,-0.281980652,training
342231,-0.356690705,training
292717,0.152173038,training
103122,-2.630028054,training
368747,2.322688344,training
85786,0.411269146,training
1296234,0.501402189,training
2668073,0.533374674,training
420158,0.016365921,training
41418,-0.382226924,training
19627,1.310916144,training
900613,0.043718471,training
41761,-0.12263085,training
3827771,0.300827373,training
1390246,0.168982009,training
3822784,-0.089588819,training
107066,-0.504933676,training
416019,-1.19581022,training
1816016,0.913715609,training
1390242,1.08073577,training
512731,-0.890318568,training
1064007,2.299487407,training
392959,0.268114433,training
447647,-0.875098096,training
424702,-0.974129261,training
342202,0.310738084,training
220384,-2.774005495,training
430390,-0.203353148,training
67929,-0.305187917,training
218794,-0.54495624,training
218554,0.002702304,training
3830069,0.85311851,training
419152,-0.097569282,training
87107,-2.239232142,training
835884,0.416002998,training
3849968,0.986248596,training
428238,0.955212755,training
1823515,1.670840762,training
3827770,0.12136503,training
1636202,1.46114632,training
420071,-0.174589303,training
62114,0.199353338,training
1766345,0.668599552,training
41542,-0.059521266,training
4059217,0.563764989,training
4248,-0.424040504,training
3826177,0.129801159,training
421747,0.660593774,training
2485260,0.208612195,training
423673,-0.17723469,training
170744,-2.527187024,training
429247,-0.185512602,training
85599,-0.188487081,training
391721,-1.045200323,training
342325,0.385220304,training
14431,0.22104172,training
80662,-2.283532893,training
1127595,0.707109562,training
1673085,1.583739156,training
27001,-0.362196655,training
80836,-0.853498315,training
1301800,0.3234524,training
1066279,2.23308691,training
2588634,0.770579882,training
3830167,0.482099718,training
4057142,0.134927389,training
855168,-1.60500993,training
43154,0.231060019,training
359354,-0.189227537,training
1563726,2.706630297,training
424689,-0.216086449,training
143844,-2.067566731,training
13728,-0.851409851,training
169164,-2.121018751,training
89242,-0.312940549,training
343215,-0.342577751,training
1410845,1.061711761,training
269000,-0.394137497,training
1671942,1.391954875,training
2588632,0.331793598,training
83123,0.125795105,training
392036,-0.023580699,training
1477928,1.409251154,training
480914,-0.945466675,training
1815954,1.97630077,training
20585,-2.873682186,training
217777,-1.06887591,training
443483,-0.156850016,training
4069854,0.527906695,training
168614,-0.926480638,training
342263,-0.081912131,training
1790751,1.431597719,training
76718,-0.704198455,training
85465,-0.397833445,training
13350,-0.653651298,training
916978,0.032833143,training
20010,0.398352313,training
295261,-1.944157495,training
1301802,0.2737786,training
3863186,0.609015042,training
2201664,0.369765671,training
4057151,0.996532699,training
5131,-1.789263083,training
13396,-0.633823547,training
2201662,0.193125918,training
2485913,0.618166311,training
96458,-2.261382517,training
1586793,-0.036326658,training
984151,2.036847239,training
77331,-0.082367796,training
41800,-0.409668075,training
3825284,0.368791054,training
427650,0.757479517,training
430048,0.177266249,training
3578390,1.068110055,training
1342417,1.71252144,training
3827748,0.836505728,training
391994,1.084621578,training
934019,0.243236397,training
62256,-0.09930334,training
1642486,1.072141424,training
42083,-0.906349111,training
2586622,1.273817429,training
438163,0.237635516,training
422181,-0.904482151,training
471785,0.133838856,training
377165,2.439775229,training
168928,0.175114499,training
96638,0.639171196,training
107103,-0.467442583,training
4069736,0.45196255,training
429168,-0.718532912,training
77230,-0.823797826,training
62603,0.561208203,training
3830165,0.315971901,training
369679,1.390265118,training
321131,-1.666486715,training
1635496,0.686376811,training
85711,-0.539981899,training
609368,0.383100197,training
909658,0.284328508,training
393205,0.342090359,training
16262,0.069267347,training
1671946,1.207632107,training
97487,-0.580934779,training
295788,-1.398498814,training
321822,0.513907658,training
1295755,0.195005536,training
294724,0.667112313,training
369670,0.481884543,training
1542708,0.740100965,training
393017,-1.267779954,training
295026,2.143377889,training
358886,0.481954159,training
3865255,0.640316687,training
670602,-0.307738375,training
1477994,-0.382929407,training
1504972,1.586030138,training
68052,0.324477646,training
355408,-0.255349572,training
415066,-1.731039238,training
97127,-0.705502163,training
143067,-2.175945354,training
438323,0.746284084,training
4059227,0.952833172,training
2117143,-0.322344965,training
421749,0.731658507,training
2163595,-0.623520458,training
62526,-0.281411071,training
88809,-0.443589793,training
390866,-0.464695936,training
294834,-0.916082619,training
2151603,-2.051270383,training
367789,1.83116518,training
217385,2.111734495,training
2450184,0.52323613,training
423143,-1.047927983,training
13767,0.323091665,training
1302304,1.309504849,training
460142,0.642632983,training
2465,0.093949194,validation
6387,-1.617622987,validation
12867,-0.269196721,validation
13421,0.142933167,validation
13569,-0.359614555,validation
14103,-0.862459724,validation
41263,-0.360525884,validation
41686,-0.699363344,validation
41948,0.439381137,validation
42274,-0.134206004,validation
62627,-0.126193896,validation
65315,-0.674903001,validation
77128,0.243894579,validation
80506,-0.323319582,validation
126308,-2.721002811,validation
130562,-2.249516244,validation
168945,0.644746762,validation
217451,-2.333371238,validation
294614,0.338122277,validation
294670,-0.032263646,validation
295296,-0.321560209,validation
341985,0.92252513,validation
342218,-0.353159302,validation
369564,0.500319985,validation
373101,0.631545138,validation
392884,0.632513426,validation
392956,0.045212039,validation
415173,-1.794326026,validation
418273,-0.886856781,validation
419525,-0.291163565,validation
421064,-0.225022544,validation
421919,-0.5341785,validation
422381,-1.199056832,validation
423671,-0.36289281,validation
424673,0.479549261,validation
427520,-0.416287873,validation
432043,0.586946939,validation
438760,0.054255721,validation
450448,-0.419737003,validation
460689,0.074691024,validation
601577,-2.191767051,validation
743023,-0.51511652,validation
904516,0.251102944,validation
1193118,0.555164315,validation
1291472,0.180335659,validation
1291739,-0.293163428,validation
1293839,1.577049743,validation
1300939,0.331186045,validation
1637606,1.003899281,validation
1642335,0.815886893,validation
2011449,1.297315813,validation
2448313,0.672599277,validation
2485148,-0.145344478,validation
3825285,0.883970819,validation
3827774,0.27008898,validation
3830068,0.308061053,validation
3830109,0.635570178,validation
3830128,0.202846769,validation
3831054,0.34931771,validation
4057155,1.052433918,validation
