,yield1,group
96495,1.100118621,training
87507,-0.075569006,training
13954,0.665868096,training
345434,2.526904542,training
2448314,0.700333846,training
41709,0.004511739,training
1360815,0.567332865,training
3827762,-2.045141614,training
2485915,-1.847834972,training
623960,0.796075658,training
1838323,-1.76676065,training
1642433,-0.124954711,training
770285,-0.722681366,training
77205,-1.575635365,training
62633,0.381183613,training
323172,1.151572922,training
3830201,-1.694750688,training
77310,-0.075340972,training
106657,0.354935241,training
217754,-0.266629138,training
1296766,0.183298742,training
320849,-0.68283238,training
1439621,-0.008673527,training
85676,1.25576829,training
77246,0.938141001,training
422005,0.127161594,training
4057141,-0.841470927,training
358060,-0.459033043,training
86490,0.790757573,training
2114149,1.088537738,training
1081265,1.565691279,training
2621166,-0.628633523,training
855587,-0.038920643,training
217748,0.578498399,training
1301798,-0.843441794,training
625454,0.427327974,training
168524,0.867116473,training
423409,0.221396751,training
326413,0.516912861,training
897095,0.599518271,training
673831,0.293308983,training
143989,1.077111593,training
1635819,-0.54919616,training
321614,-0.152489848,training
41804,-0.456435082,training
86954,-0.571950722,training
1290414,-0.332376301,training
1295736,-1.678983748,training
217743,-0.1533124,training
664062,2.234409885,training
471420,-0.76649652,training
342294,0.689583659,training
292907,-0.324305517,training
427258,0.10518072,training
168924,0.175985357,training
342090,0.610089288,training
2166,-0.25270276,training
430433,0.211509837,training
62576,1.239146222,training
343376,-1.43664034,training
3830198,-2.015521593,training
20424,3.278920805,training
342374,1.075702667,training
419380,0.939240452,training
1079616,0.712370797,training
424700,1.62450783,training
3827768,-2.28909755,training
1799716,-0.931715484,training
3854950,-2.322773324,training
92207,1.809280731,training
1796426,-0.449993114,training
419150,-0.125940145,training
86162,-0.760966689,training
16122,0.858573333,training
294705,0.782361026,training
321397,0.364545256,training
1066569,0.056772305,training
89491,-1.063038785,training
423348,-1.474013527,training
96501,1.014149705,training
1058137,-1.227085001,training
665788,1.088171254,training
42076,0.025385018,training
168154,1.400545612,training
460693,-0.064574497,training
2485920,-1.424562669,training
295190,0.24953455,training
108014,0.98881347,training
3830184,-1.426191485,training
877657,1.26586695,training
3830206,-1.740846185,training
1700001,-1.702349116,training
3868700,-2.005903434,training
416396,2.279813135,training
3848815,-1.702715599,training
3855090,-2.015155109,training
427918,-0.258297743,training
421337,0.91830202,training
62587,-0.87979697,training
342231,0.642486441,training
292717,0.615765712,training
103122,-0.561477434,training
368747,1.467962311,training
85786,1.448050034,training
1296234,-0.732226229,training
2668073,-0.593304501,training
420158,1.515287564,training
41418,0.121248991,training
19627,0.967549276,training
900613,0.745851112,training
41761,0.535644247,training
3827771,-1.569445864,training
1390246,-1.646904215,training
3822784,-0.562658325,training
107066,0.640882057,training
416019,-0.585795659,training
1816016,-0.218693079,training
1390242,0.043008808,training
512731,-0.111875317,training
1064007,1.132841537,training
392959,0.260480194,training
447647,0.812754735,training
424702,0.939248596,training
342202,0.33301952,training
220384,-0.767604115,training
430390,-0.39023185,training
67929,1.706201103,training
218794,0.156537293,training
218554,1.053053979,training
3830069,-1.636455359,training
419152,-0.168248644,training
87107,0.004397722,training
835884,0.039050785,training
3849968,-1.452472433,training
428238,-0.293797791,training
1823515,0.462616276,training
3827770,-2.311298314,training
1636202,-0.174201967,training
420071,1.235627979,training
62114,0.142285151,training
1766345,-0.623869236,training
41542,1.142190941,training
4059217,-1.148877395,training
4248,0.647218152,training
3826177,-0.880505505,training
421747,0.084462179,training
2485260,-1.101902338,training
423673,0.256986383,training
170744,-2.224246236,training
429247,-1.042678583,training
85599,0.529967823,training
391721,-1.091078854,training
342325,0.25240941,training
14431,1.650976092,training
80662,0.145094859,training
1127595,0.712093898,training
1673085,-1.12012879,training
27001,0.265708694,training
80836,0.898780659,training
1301800,-1.041359242,training
1066279,-0.072311374,training
2588634,0.216599887,training
3830167,-1.785638628,training
4057142,-0.895572054,training
855168,-1.100363106,training
43154,0.030711247,training
359354,0.59572313,training
1563726,1.479730508,training
424689,1.460697791,training
143844,-0.075365404,training
13728,0.950023214,training
169164,-0.143881554,training
89242,-0.470361459,training
343215,0.475402482,training
1410845,-1.381936551,training
269000,1.244627188,training
1671942,0.181808375,training
2588632,-0.466631471,training
83123,1.299322833,training
392036,0.331048653,training
1477928,-0.894342298,training
480914,0.360823412,training
1815954,0.394873813,training
20585,-1.305113438,training
217777,0.045240286,training
443483,0.658522136,training
4069854,-0.902396794,training
168614,-0.438778715,training
342263,0.079689748,training
1790751,0.069851698,training
76718,-0.408588608,training
85465,0.41013582,training
13350,0.316022824,training
916978,-0.082890534,training
20010,0.985775728,training
295261,0.222887118,training
1301802,-0.857237867,training
3863186,-1.462473364,training
2201664,-1.468394111,training
4057151,-1.107521753,training
5131,-0.967639024,training
13396,0.797614889,training
2201662,-1.786746223,training
2485913,-2.157301893,training
96458,-0.128994175,training
1586793,2.082612366,training
984151,1.246956395,training
77331,0.92999692,training
41800,0.686040984,training
3825284,-1.514717642,training
427650,-0.151585855,training
430048,-0.567732088,training
3578390,-1.482353065,training
1342417,-0.105140163,training
3827748,-1.448400393,training
391994,0.227317498,training
934019,0.044727209,training
62256,0.502253516,training
1642486,-0.246480682,training
42083,0.309238805,training
2586622,-0.103641652,training
438163,0.78883557,training
422181,1.754137161,training
471785,-0.572480087,training
377165,1.439001961,training
168928,0.952971372,training
96638,2.398537543,training
107103,0.299734663,training
4069736,-1.209974288,training
429168,-0.217951968,training
77230,-0.321023453,training
62603,0.70277707,training
3830165,-1.840798487,training
369679,0.82457994,training
321131,0.159412153,training
1635496,-0.848865752,training
85711,0.512392897,training
609368,1.707756622,training
909658,-0.170976911,training
393205,0.523151227,training
16262,2.593962902,training
1671946,-0.148678418,training
97487,-0.677009362,training
295788,-1.688113263,training
321822,0.861635507,training
1295755,-1.016055583,training
294724,0.965651705,training
369670,0.105807814,training
1542708,-0.319158458,training
393017,-0.575012896,training
295026,1.448962171,training
358886,1.115779688,training
3865255,-1.922239293,training
670602,0.367517846,training
1477994,1.174547374,training
1504972,0.381517521,training
68052,-0.150641141,training
355408,0.759125964,training
415066,0.240014119,training
97127,0.367599287,training
143067,0.584313273,training
438323,-0.300883141,training
4059227,-0.490371466,training
2117143,0.056772305,training
421749,0.130883439,training
2163595,0.229736289,training
62526,0.824197168,training
88809,-0.115605306,training
390866,0.477267477,training
294834,-0.157009812,training
2151603,-1.008359427,training
367789,1.331622257,training
217385,0.955186561,training
2450184,-1.892252788,training
423143,-1.255776597,training
13767,1.842361987,training
1302304,-0.380581114,training
460142,1.63380837,training
2465,0.785439489,validation
6387,-1.050822664,validation
12867,1.685767604,validation
13421,1.001363499,validation
13569,1.813670391,validation
14103,-0.437956163,validation
41263,0.56560632,validation
41686,0.409679751,validation
41948,0.580713589,validation
42274,0.449406577,validation
62627,0.560687295,validation
65315,0.873330407,validation
77128,1.309706536,validation
80506,-0.605528766,validation
126308,-0.725474786,validation
130562,-0.781090713,validation
168945,0.926380948,validation
217451,-0.997039155,validation
294614,1.49951248,validation
294670,0.886857725,validation
295296,0.806109165,validation
341985,-0.539431407,validation
342218,0.083020677,validation
369564,0.069493359,validation
373101,-0.448421306,validation
392884,0.568171705,validation
392956,0.556664119,validation
415173,-0.001987237,validation
418273,-0.904172203,validation
419525,0.9182613,validation
421064,0.142985542,validation
421919,0.06292923,validation
422381,-0.397260192,validation
423671,0.529128982,validation
424673,1.156223192,validation
427520,-0.062400028,validation
432043,-0.726167033,validation
438760,-0.670640691,validation
450448,1.421361882,validation
460689,0.966873317,validation
601577,0.109423786,validation
743023,-0.098641186,validation
904516,0.578807874,validation
1193118,-1.277993649,validation
1291472,-0.666690812,validation
1291739,-0.949941937,validation
1293839,-0.038049226,validation
1300939,-0.96970762,validation
1637606,0.047015696,validation
1642335,-0.334257584,validation
2011449,0.076692726,validation
2448313,0.167621386,validation
2485148,-1.821920508,validation
3825285,-0.50357302,validation
3827774,-2.05032125,validation
3830068,-1.177055914,validation
3830109,-2.418661729,validation
3830128,-2.001456766,validation
3831054,-0.061316865,validation
4057155,-1.025103657,validation
