,yield5,group
421018,0.095307696,training
13302,-0.191638129,training
450770,0.418031282,training
168939,0.515051318,training
784135,-1.466232665,training
1766332,0.071990791,training
294818,-1.355910035,training
19630,-1.192384899,training
358856,1.606949565,training
1541043,0.389742621,training
42066,-0.318819101,training
1651705,0.780552513,training
295191,0.234800057,training
85587,0.024688311,training
1500224,-0.109368159,training
97120,-0.545970123,training
701166,-0.39033529,training
3830032,1.254521313,training
1101307,0.518984669,training
2460025,0.368392392,training
624629,-0.179838076,training
423133,-0.702604028,training
2484301,1.092954986,training
85331,-0.907948552,training
68460,-0.726314268,training
77534,0.142405641,training
438770,-2.263208251,training
1563730,1.342801443,training
2601500,0.494401225,training
3826178,1.54427555,training
3864287,1.166610917,training
77587,0.643726964,training
220399,-1.67844482,training
377276,-0.01201772,training
1982528,-0.312266138,training
86230,-1.364760075,training
96495,-0.740993534,training
87507,-0.330619154,training
13954,0.266062331,training
345434,0.537337685,training
2448314,0.561968329,training
41709,-0.393127969,training
1360815,-0.856374454,training
3827762,0.769145795,training
2485915,0.762852433,training
623960,0.394431175,training
1838323,1.26435469,training
1642433,0.895744631,training
770285,-0.724316126,training
77205,-1.206773097,training
62633,0.238403007,training
323172,0.719145037,training
3830201,1.743436846,training
77310,0.082382704,training
106657,-0.69117371,training
217754,-0.116904459,training
1296766,0.390167423,training
320849,-0.942105773,training
1439621,0.175799791,training
85676,-0.806554629,training
77246,0.024696178,training
422005,-1.046489042,training
4057141,2.615987839,training
358060,0.462714149,training
86490,-0.002459677,training
2114149,1.299754849,training
1081265,1.898017542,training
2621166,2.559080117,training
855587,-0.47114992,training
217748,-0.026319385,training
1301798,-0.243369562,training
625454,-0.748341034,training
168524,-0.379133106,training
423409,-0.133951602,training
326413,-0.173646981,training
897095,-0.983555426,training
673831,-0.342419207,training
143989,-0.397486122,training
1635819,-0.514361714,training
321614,-0.08675139,training
41804,-0.434506822,training
86954,-2.142588108,training
1290414,0.080156428,training
1295736,-0.264711924,training
217743,-0.176880196,training
664062,-0.017264811,training
471420,-1.491941047,training
342294,-1.22291557,training
292907,-0.460419738,training
427258,0.21611664,training
168924,-0.461733478,training
342090,0.511770903,training
2166,-1.738758824,training
430433,-0.338226255,training
62576,-0.458563197,training
343376,0.624791812,training
3830198,0.998656828,training
20424,0.973947517,training
342374,-0.285778952,training
419380,-0.893088352,training
1079616,0.754199061,training
424700,-0.137884954,training
3827768,1.212041121,training
1799716,0.068899177,training
3854950,1.026780288,training
92207,0.6148011,training
1796426,0.379067506,training
419150,-1.548793703,training
86162,-1.49489106,training
16122,-0.449972758,training
294705,-0.604647854,training
321397,-0.272334759,training
1066569,-0.393198769,training
89491,-1.28445678,training
423348,1.072013825,training
96501,0.441631388,training
1058137,-1.639111309,training
665788,-1.080315861,training
42076,-0.691559178,training
168154,0.300030751,training
460693,0.178749805,training
2485920,1.520415843,training
295190,0.001284873,training
108014,-0.088065129,training
3830184,1.042710359,training
877657,0.927266507,training
3830206,1.948954438,training
1700001,-0.554104293,training
3868700,0.744365683,training
416396,-0.772468209,training
3848815,0.343557213,training
3855090,0.324283793,training
427918,-0.326685803,training
421337,-0.558753514,training
62587,-2.89909738,training
342231,0.051309231,training
292717,0.139022959,training
103122,-1.296917636,training
368747,0.999640166,training
85786,-0.20606566,training
1296234,-0.359135949,training
2668073,1.17251881,training
420158,-0.027751125,training
41418,-0.21851865,training
19627,-0.687248226,training
900613,-0.056598321,training
41761,0.510889833,training
3827771,1.759563585,training
1390246,1.085387218,training
3822784,2.125097764,training
107066,-0.274246367,training
416019,-0.210651948,training
1816016,-0.317135627,training
1390242,0.473098196,training
512731,-0.488307197,training
1064007,0.793532571,training
392959,-1.037316468,training
447647,-0.149213004,training
424702,-0.629553833,training
342202,0.119694472,training
220384,-1.696805702,training
430390,-0.887070325,training
67929,0.0666493,training
218794,-0.684974749,training
218554,-0.636106796,training
3830069,1.132587431,training
419152,-1.667730371,training
87107,-0.603326248,training
835884,0.618569251,training
3849968,2.387719746,training
428238,-1.852826004,training
1823515,1.325321631,training
3827770,1.427392091,training
1636202,0.188299981,training
420071,-0.208685272,training
62114,-0.765254443,training
1766345,0.360997692,training
41542,0.18150315,training
4059217,1.224100776,training
4248,0.96432654,training
3826177,2.683633611,training
421747,-2.682763073,training
2485260,2.217932715,training
423673,0.112307639,training
170744,-1.842811693,training
429247,-2.242227757,training
85599,-1.292118948,training
391721,-0.524187225,training
342325,-0.259590701,training
14431,0.695985466,training
80662,-0.818354682,training
1127595,0.616791376,training
1673085,1.856583622,training
27001,0.01109465,training
80836,0.103363199,training
1301800,-0.193998139,training
1066279,0.051899234,training
2588634,0.058782598,training
3830167,1.362885134,training
4057142,2.792201966,training
855168,-0.053569641,training
43154,-1.814806233,training
359354,-0.479299823,training
1563726,1.597509523,training
424689,-1.603058214,training
143844,-0.826221384,training
13728,-1.032069378,training
169164,-2.676469711,training
89242,-0.430801605,training
343215,0.735712311,training
1410845,-2.007210033,training
269000,-0.528073376,training
1671942,0.570118233,training
2588632,0.919627939,training
83123,0.133948936,training
392036,0.04649481,training
1477928,-0.668887343,training
480914,-0.175070854,training
1815954,0.044032532,training
20585,-1.224803578,training
217777,-0.627768091,training
443483,0.577984935,training
4069854,2.692814052,training
168614,-0.094256224,training
342263,-0.123709156,training
1790751,0.624060209,training
76718,-1.206426962,training
85465,-0.4001136,training
13350,0.006807298,training
916978,0.534246071,training
20010,0.652278069,training
295261,-0.594153673,training
1301802,-0.638781474,training
3863186,1.332008328,training
2201664,1.180574313,training
4057151,1.935250643,training
5131,-1.502757762,training
13396,-0.236084995,training
2201662,1.212237789,training
2485913,0.811232651,training
96458,-1.205136823,training
1586793,1.584922799,training
984151,1.575482757,training
77331,0.625185147,training
41800,0.078449353,training
3825284,1.569189395,training
427650,-0.331932893,training
430048,-1.733511734,training
3578390,1.301721525,training
1342417,0.686348756,training
3827748,1.440962152,training
391994,0.66064824,training
934019,0.762938967,training
62256,0.021297763,training
1642486,0.745435555,training
42083,0.18436663,training
2586622,0.41390913,training
438163,0.345917224,training
422181,0.665643596,training
471785,-0.967822022,training
377165,1.521989183,training
168928,0.406821231,training
96638,0.05035736,training
107103,0.268556076,training
4069736,1.84871692,training
429168,-1.312100371,training
77230,-0.2742385,training
62603,-0.838021438,training
3830165,1.178324436,training
369679,0.302650362,training
321131,-0.20606566,training
1635496,0.457042257,training
85711,-0.132637863,training
609368,-0.545380121,training
909658,0.43542456,training
393205,0.297183004,training
16262,0.385250734,training
1671946,0.855002981,training
97487,-2.117674263,training
295788,-0.902315994,training
321822,0.722559185,training
1295755,-0.025745116,training
294724,-1.106803047,training
369670,-0.505716209,training
1542708,0.607768269,training
393017,-0.254312144,training
295026,1.446468843,training
358886,0.816613475,training
3865255,0.912319773,training
670602,0.603551716,training
1477994,0.376817629,training
1504972,0.834494489,training
68052,-0.076807879,training
355408,-0.10681148,training
415066,-0.487953196,training
97127,0.258077628,training
143067,-0.630859705,training
438323,-1.466043864,training
4059227,1.791557463,training
2117143,-0.841954789,training
421749,-1.41622404,training
2163595,-0.295218995,training
62526,-1.294203624,training
88809,-0.09331222,training
390866,-0.50893369,training
294834,-0.378181235,training
2151603,-0.464353089,training
367789,1.639989714,training
217385,1.514122481,training
2450184,1.363868471,training
423143,-0.725220797,training
13767,0.098116109,training
1302304,-0.146176457,training
460142,0.654905548,training
2465,0.55175735,validation
6387,-0.562403664,validation
12867,0.347223096,validation
13421,-0.634352521,validation
13569,-0.576453594,validation
14103,0.397255321,validation
41263,-0.414399531,validation
41686,-0.051909767,validation
41948,-0.295824731,validation
42274,-0.556566571,validation
62627,0.101066122,validation
65315,-0.059745002,validation
77128,-0.287069092,validation
80506,-1.11335601,validation
126308,-1.972140275,validation
130562,-1.030755638,validation
168945,0.229230432,validation
217451,-0.957335708,validation
294614,-1.294290158,validation
294670,-0.539519428,validation
295296,0.406097495,validation
341985,0.594835411,validation
342218,-0.34458255,validation
369564,0.290850309,validation
373101,0.031367141,validation
392884,-0.599400764,validation
392956,-0.506314078,validation
415173,-0.602020376,validation
418273,1.295428163,validation
419525,-0.379786042,validation
421064,0.359581685,validation
421919,-0.051351231,validation
422381,-0.650762462,validation
423671,-0.009067707,validation
424673,-3.575633757,validation
427520,0.400984138,validation
432043,-1.130395287,validation
438760,-1.699425314,validation
450448,0.439003909,validation
460689,-0.074951337,validation
601577,-0.289971905,validation
743023,-0.300222217,validation
904516,-0.902528395,validation
1193118,-1.040195681,validation
1291472,-0.285448551,validation
1291739,-0.229539899,validation
1293839,0.737285652,validation
1300939,0.120646343,validation
1637606,0.067632638,validation
1642335,0.046982545,validation
2011449,0.670481618,validation
2448313,0.104079069,validation
2485148,1.902210494,validation
3825285,2.397820591,validation
3827774,0.050129226,validation
3830068,1.405561992,validation
3830109,1.397301955,validation
3830128,0.956176637,validation
3831054,-1.732197995,validation
4057155,1.701877059,validation
